Census Tract,Neighborhood,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
124400,Valley Glen,34.1738495,-118.40970700000001,4690.0,35.8,75670.0,37477.0,595.0,12.69,4.24
124500,Valley Glen,34.1741095,-118.42469550000001,3057.0,37.2,91667.0,51800.0,344.0,11.25,0.92
124600,Sherman Oaks,34.161935,-118.4268715,3031.0,43.5,71750.0,43113.0,313.0,10.33,3.53
124902,Valley Village,34.170221999999995,-118.40087350000002,2654.0,38.3,34572.0,27692.0,542.0,20.42,5.61
124903,Valley Village,34.1666115,-118.40087150000001,3587.0,38.2,56223.0,33501.0,515.0,14.36,9.62
125100,Valley Village,34.1648815,-118.39211999999999,6044.0,36.1,66134.0,44384.0,752.0,12.44,7.1
125200,Valley Village,34.164891499999996,-118.38336899999999,3623.0,38.7,64219.0,40018.0,599.0,16.53,6.79
125310,North Hollywood,34.1685345,-118.36686350000001,4761.0,34.7,53022.0,35982.0,967.0,20.31,4.1
125320,North Hollywood,34.1667075,-118.3702555,5379.0,32.4,34681.0,28552.0,1463.0,27.2,3.76
125401,North Hollywood,34.1612765,-118.37460300000001,4729.0,32.4,59824.0,38174.0,986.0,20.85,3.76
125402,North Hollywood,34.1568065,-118.3734175,4676.0,35.0,66546.0,42888.0,560.0,11.98,5.45
125501,North Hollywood,34.1621865,-118.365879,3127.0,33.8,47227.0,38335.0,417.0,13.34,4.03
125502,Toluca Lake,34.1564755,-118.3658595,3457.0,37.1,65919.0,43869.0,483.0,13.97,8.19
125600,Toluca Lake,34.158891499999996,-118.355607,2795.0,43.5,81357.0,64610.0,330.0,11.81,4.44
127102,Van Nuys,34.206446,-118.44437749999999,5663.0,32.5,43579.0,21234.0,924.0,16.32,7.72
127103,Van Nuys,34.2046925,-118.42898000000001,3187.0,31.6,42477.0,21415.0,725.0,22.75,3.26
127104,Van Nuys,34.2056005,-118.4356785,3588.0,34.4,39931.0,26109.0,629.0,17.53,4.79
127210,Van Nuys,34.2080785,-118.45743999999999,5714.0,33.2,51658.0,20650.0,1123.0,19.65,6.65
127220,Van Nuys,34.2047635,-118.4531115,5005.0,36.6,40665.0,21498.0,957.0,19.12,6.37
127300,Van Nuys,34.2087545,-118.46975149999999,3731.0,37.9,53476.0,30184.0,565.0,15.14,3.03
127400,Van Nuys,34.211219,-118.47947849999998,6673.0,32.2,48193.0,18418.0,1238.0,18.55,3.82
127520,Van Nuys,34.2182555,-118.469623,4544.0,31.6,29842.0,13456.0,1562.0,34.38,5.15
127603,Van Nuys,34.19575,-118.479983,3154.0,30.8,40731.0,15918.0,775.0,24.57,5.8
127604,Van Nuys,34.199296000000004,-118.47961200000002,3093.0,34.0,41753.0,22871.0,695.0,22.47,4.78
127605,Van Nuys,34.190270500000004,-118.485831,3998.0,28.7,41701.0,17186.0,1137.0,28.44,5.23
127606,Van Nuys,34.190276000000004,-118.47774650000001,3499.0,35.9,62736.0,26629.0,526.0,15.03,3.06
127711,Van Nuys,34.1871595,-118.47019350000001,3451.0,35.1,63650.0,31850.0,568.0,16.46,6.26
127712,Van Nuys,34.197487,-118.4701995,3669.0,32.4,39333.0,21851.0,845.0,23.03,3.35
127803,Van Nuys,34.197557,-118.4530895,4675.0,32.8,36269.0,20780.0,1439.0,30.78,2.93
127804,Van Nuys,34.197493,-118.461823,4450.0,33.4,50564.0,23084.0,749.0,16.83,5.62
127805,Van Nuys,34.192108000000005,-118.457452,3785.0,34.0,43135.0,19007.0,445.0,11.76,3.59
127806,Van Nuys,34.1886615,-118.457449,3253.0,34.0,36633.0,19702.0,950.0,29.2,4.49
127910,Van Nuys,34.197562,-118.444372,4960.0,32.9,41083.0,17201.0,1006.0,20.28,6.15
127920,Van Nuys,34.197565000000004,-118.435622,4633.0,33.4,54038.0,21311.0,1126.0,24.3,4.36
128101,Valley Glen,34.1902995,-118.4356175,3715.0,37.0,57313.0,27641.0,648.0,17.44,5.33
128102,Van Nuys,34.190296000000004,-118.444351,4976.0,32.9,45517.0,17182.0,1259.0,25.3,4.04
128210,Van Nuys,34.183584,-118.44434650000001,5247.0,29.6,31223.0,13091.0,2332.0,44.44,6.8
128220,Valley Glen,34.183271500000004,-118.4356135,3106.0,32.3,38910.0,26009.0,847.0,27.27,4.31
128302,Van Nuys,34.18353,-118.45962949999999,4832.0,32.9,45508.0,17955.0,1214.0,25.12,4.76
128303,Van Nuys,34.18356,-118.45307749999999,3650.0,28.8,38243.0,13731.0,1139.0,31.21,6.14
128400,Van Nuys,34.178852,-118.461253,4265.0,41.1,75000.0,38884.0,570.0,13.36,2.2
128500,Sherman Oaks,34.170302500000005,-118.4443375,4123.0,39.6,64676.0,41910.0,411.0,9.97,4.1
128601,Valley Glen,34.1781255,-118.439977,4526.0,36.5,44963.0,28812.0,1053.0,23.27,5.41
128602,Sherman Oaks,34.171214500000005,-118.43560649999999,3910.0,34.4,85670.0,43756.0,467.0,11.94,3.25
128702,Sherman Oaks,34.1600075,-118.439966,6026.0,39.4,74120.0,55764.0,452.0,7.5,5.11
128801,Sherman Oaks,34.1684665,-118.46564,3425.0,37.3,61821.0,39709.0,416.0,12.15,3.56
128802,Sherman Oaks,34.1684825,-118.455251,4959.0,36.9,88375.0,57031.0,212.0,4.28,1.86
128910,Sherman Oaks,34.160866999999996,-118.4590905,4530.0,38.8,91161.0,52661.0,277.0,6.11,5.63
131010,Reseda,34.214552000000005,-118.54110800000001,6542.0,33.4,55323.0,22166.0,897.0,13.71,3.1
131020,Reseda,34.1992525,-118.5399945,6133.0,36.1,67500.0,24822.0,1345.0,21.93,1.6
131100,Lake Balboa,34.214809499999994,-118.505505,3372.0,39.6,68553.0,31289.0,358.0,10.62,2.08
131200,Lake Balboa,34.2147545,-118.51423799999999,3129.0,44.0,69250.0,34542.0,349.0,11.15,1.31
