Census Tract,Neighborhood,Latitude,Longitude
302103,Glendale,34.142623,-118.2376825
302104,Glendale,34.146295,-118.232259
302201,Glendale,34.1444725,-118.248417
302202,Glendale,34.1405075,-118.2484035
302301,Glendale,34.1444275,-118.263652
302302,Glendale,34.1401,-118.2624115
302401,Glendale,34.1301145,-118.2615235
302503,Glendale,34.1375145,-118.2483225
302504,Glendale,34.135946,-118.248378
302505,Glendale,34.1262185,-118.253144
302506,Glendale,34.1289675,-118.246127
310100,Burbank,34.203851,-118.3106535
310201,Burbank,34.1922185,-118.304543
310202,Burbank,34.1870535,-118.2960275
310300,Burbank,34.1994375,-118.318784
310400,Burbank,34.2016605,-118.3363205
310501,Burbank,34.195881,-118.335306
310601,Burbank,34.192266,-118.3277625
310602,Burbank,34.1922805,-118.317686
310701,Burbank,34.185479,-118.3132075
310702,Burbank,34.181163,-118.306755
310703,Burbank,34.1760485,-118.2997335
310800,Burbank,34.1749995,-118.3232165
310900,Burbank,34.1809065,-118.3290175
311000,Burbank,34.185132,-118.343639
311100,Burbank,34.1859125,-118.355053
311200,Burbank,34.1714255,-118.3527755
311300,Burbank,34.173525,-118.342414
311400,Burbank,34.162038,-118.34958
311500,Burbank,34.164754,-118.33837
311600,Burbank,34.152186,-118.3385765
311700,Burbank,34.162039,-118.32085
311801,Burbank,34.166855,-118.3064515
311802,Burbank,34.171265,-118.311263
320000,Universal City,34.137367,-118.352786
320100,San Fernando,34.294876,-118.4273065
320201,San Fernando,34.286111,-118.439691
320202,San Fernando,34.2898305,-118.4343995
320300,San Fernando,34.2823865,-118.44586
400204,La Verne,34.132631,-117.7580945
400205,Claremont,34.1434785,-117.7172025
400206,Claremont,34.130372,-117.718468
400207,La Verne,34.1434075,-117.772268
400302,La Verne,34.114226,-117.7886885
400304,San Dimas,34.1050345,-117.7997755
400402,Glendora,34.1378705,-117.829004
400403,San Dimas,34.141358,-117.793128
400404,Glendora,34.157878,-117.8203355
400501,Glendora,34.163097,-117.865255
400602,Azusa,34.140085,-117.9115945
400603,Azusa,34.151103,-117.918145
400604,Azusa,34.148685,-117.891244
400800,Glendora,34.1379695,-117.8892655
400900,Glendora,34.1360045,-117.876915
401001,Glendora,34.1415235,-117.8527835
401002,Glendora,34.141501,-117.8659045
401101,Glendora,34.1265525,-117.855336
401102,Glendora,34.1305755,-117.8659455
401201,Glendora,34.1232835,-117.833986
401202,San Dimas,34.113742,-117.8332835
401203,Glendora,34.112302,-117.8553975
401303,San Dimas,34.072894,-117.8095715
401304,San Dimas,34.083891,-117.8126045
401311,San Dimas,34.1100455,-117.815531
401312,San Dimas,34.097563,-117.828443
401500,La Verne,34.098039,-117.7787765
401601,La Verne,34.115101,-117.77002
401602,La Verne,34.106283,-117.7649645
401603,La Verne,34.1109685,-117.7780265
401701,Claremont,34.114338,-117.7436235
401703,Pomona,34.1021645,-117.7525045
401704,Pomona,34.1009125,-117.7404545
401800,Claremont,34.114227,-117.7151805
401901,Claremont,34.1004595,-117.708132
401902,Claremont,34.100528,-117.725001
402001,Claremont,34.086732,-117.7257735
402002,Claremont,34.0867415,-117.7119895
402101,Pomona,34.086072,-117.7347815
402102,Pomona,34.0839035,-117.7448405
402200,Pomona,34.083327,-117.768076
402301,Pomona,34.0682985,-117.7690925
402303,Pomona,34.067975,-117.755932
402304,Pomona,34.0613,-117.7678315
402402,Pomona,34.0527815,-117.789834
402403,Pomona,34.0502885,-117.8112175
402404,Pomona,34.052917,-117.81575
