ZIP Code,Studio,City,Location
90013,Los Angeles Parks n Recreation,Los Angeles,"34.04602247400004, -118.24624962599995"
90212,LA Fitness,Beverly Hills,"34.063841342000046, -118.40025834599999"
90027,Yoga With Ayumi,Los Angeles,"34.10546214900006, -118.29236751399998"
90046,Hollywood Fitness International,Los Angeles,"34.097150154000076, -118.35826821299997"
90405,Awakening Mother,Santa Monica,"34.01013272900008, -118.47267655199994"
90014,Harakati Studios,Los Angeles,"34.04475373200006, -118.25273671899998"
91606,Juicy Yoga Noho,North Hollywood,"34.186731132000034, -118.38680620899999"
90036,Indigo Lab,Los Angeles,"34.06892065300008, -118.35080783799998"
90275,The Push Partner,Rancho Palos Verdes,"33.76310178600005, -118.36665841799999"
91423,Yoga With Racquel,Sherman Oaks,"34.15306168500007, -118.43295885699996"
91204,LA Fitness,Glendale,"34.13669404900003, -118.25949754799996"
91604,EsoTerra Fitness & Healing,Studio City,"34.144462919000034, -118.39427961799998"
90028,Opurea,Los Angeles,"34.10072174800007, -118.32821815499994"
90803,Alana Weinberg,Long Beach,"33.76151151400006, -118.13748979299999"
90028,The Aetherius Society,Los Angeles,"34.10072174800007, -118.32821815499994"
90048,Hyperslow Studio,Los Angeles,"34.073161378000066, -118.37406665299994"
90036,Candygyrls Fitness,Los Angeles,"34.06892065300008, -118.35080783799998"
90069,Cotrone Pilates,West Hollywood,"34.08940300900008, -118.37978902499998"
91423,CorePower Yoga,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90038,Melvin Ramsey Yoga Instructor,Los Angeles,"34.088981543000045, -118.32483773999996"
90014,Blue Lite Yoga,Los Angeles,"34.04475373200006, -118.25273671899998"
90068,CorePower Yoga,Los Angeles,"34.11525144700005, -118.33141607899995"
90035,Two Snake Studios,Los Angeles,"34.054282330000035, -118.38385594999994"
90039,M Pilates and Yoga,Los Angeles,"34.11160164200004, -118.26125727499999"
90046,Yoga with Juliette,Los Angeles,"34.097150154000076, -118.35826821299997"
91301,Womanhood,Agoura Hills,"34.14345053200003, -118.76011604599995"
90064,Choose To Move LA,Los Angeles,"34.03541197100003, -118.43217675599999"
91107,Heare,Pasadena,"34.150763177000044, -118.09228870099997"
90211,Spy Fitness,Beverly Hills,"34.06566189900008, -118.38146619699995"
90041,Body Synergy Physical Therapy & Wellness,Los Angeles,"34.13538185700003, -118.20684911599994"
90045,Malan's Yoga Garden,Los Angeles,"33.961520807000056, -118.39344972199996"
90066,Diana Paschal Yoga & Coaching,Los Angeles,"34.00215095400006, -118.42903966199998"
90232,LA Fitness,Culver City,"34.01970043100005, -118.39595678999996"
90046,Metta Pilates,Los Angeles,"34.097150154000076, -118.35826821299997"
9023,The Breath Center,Culver City,"33.99506425000004, -118.39500957899998"
90266,Giving Earth Healing Arts,Manhattan Beach,"33.89004112200007, -118.40324770999996"
90254,Beach Cities Birth,Hermosa Beach,"33.86430130900004, -118.39718642699995"
90291,La Doula Vita,Venice,"33.99258325100004, -118.46637629399999"
90802,Sacred Healing Sessions,Long Beach,"33.76935424900006, -118.184528823"
90017,Myyogini,Los Angeles,"34.05230100700004, -118.26338632699998"
90028,Ella Yoga,Los Angeles,"34.10072174800007, -118.32821815499994"
90026,Disco Gym,Los Angeles,"34.07687201300007, -118.26535895999996"
90292,"Judith S Daniels, DPT C-IAYT",Marina Del Rey,"33.98163383800005, -118.45110794499999"
90019,Happy Yoga LA,Los Angeles,"34.04884238300008, -118.33610868499994"
90018,RA MA East,Los Angeles,"34.030771505000075, -118.31686899999994"
90028,Yoga Trapeze with Robyn,Los Angeles,"34.10072174800007, -118.32821815499994"
90028,Gaia Life Yoga,Los Angeles,"34.10072174800007, -118.32821815499994"
90006,Ekatala Yoga,Los Angeles,"34.05010243400005, -118.29268904499997"
90211,Music Meditation and Sound Bath with Nadene,Beverly Hills,"34.06566189900008, -118.38146619699995"
90035,Damian Hagglund,Los Angeles,"34.054282330000035, -118.38385594999994"
90029,Meredith Grubbs Yoga,Los Angeles,"34.08989399500007, -118.29490934199998"
90046,Living Lighthouse,Los Angeles,"34.097150154000076, -118.35826821299997"
90034,Maya Mind Body - Private Yoga Training,Los Angeles,"34.028290507000065, -118.40269589399998"
90035,Linda Lack The Thinking Body The Feeling Mind,Los Angeles,"34.054282330000035, -118.38385594999994"
90028,Mind-Body-Soul Harmony,Los Angeles,"34.10072174800007, -118.32821815499994"
90039,Soulspaces Yoga with Stefani Manger,Los Angeles,"34.11160164200004, -118.26125727499999"
